Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 30
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 0.000, Pos Y: 0.000, Theta: 0.000, Phi: 0.000
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-29.90759692406789	1.5498689940470234	-39.02550098150528	1.977781036088571	69.72769906932815	1.667337124802216	47.08783624160009	1.0562684445061907
51.0	-9.815589481710639	1.5607203011922044	-18.896456809327837	2.0019142980097757	92.05602141051209	1.663713513910849	68.91670882602848	1.065648587798686
52.0	10.414694158441577	1.5712092813973177	1.1534798817998655	2.0210407306086298	113.68473612447444	1.6758856407969631	90.31568274063785	1.0663295704703448
53.0	30.012245017184647	1.5815290720604342	20.93079363763215	2.0318750168946713	135.94074912504098	1.6821714460104127	111.93585496741471	1.0837523146075458
54.0	50.08903077050879	1.5921991496257895	40.97366492201728	2.046412275504603	157.7290568303567	1.6979041401961805	133.6741441343163	1.090988516158685
55.0	70.68847990299749	1.6021510558292436	60.90971869114454	2.0579481421686823	180.171432920796	1.711131306082122	155.3572122497096	1.0967023336925317
56.0	91.18907843624054	1.607327875675132	81.74057405153829	2.0665302560931456	203.22892864553324	1.7108143457951352	177.885389299243	1.1017010799277631
57.0	112.30082062157547	1.5838514182267325	102.72444809384837	2.033214947855901	226.4194455648808	1.685169491551258	200.5205476781354	1.0831804505049512
58.0	132.82213730620788	1.5310149815208087	123.23093503292249	1.9648290951090652	249.1937847908002	1.6310898265297005	222.46350160757436	1.0438615232857607
59.0	153.0763845405849	1.4172872323249195	143.67797590279324	1.8210854011715774	271.33917806637606	1.50323366423415	244.2940947260341	0.962323787264459
60.0	169.2778563263028	1.3112195609186679	159.5619834803237	1.673711498407696	289.4254568005449	1.3857784294582978	261.81338112207783	0.8955090488144911
61.0	184.31904335500948	1.2736227734678292	174.50819001426837	1.6190693611744078	306.4412666561509	1.3409493074494923	278.82753163995034	0.8625140592408268
62.0	200.08052899076304	1.2640379803219586	189.56737522522855	1.6112100802997404	323.7294263620357	1.3253887835317735	295.3050993504883	0.8579739027646758
63.0	216.29049449010236	1.267619117870897	205.87832000433136	1.6192078087518254	342.2028413344716	1.331256386774118	314.19828554082613	0.8640870542349414
