Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 74
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 719.634, Pos Y: 417.031, Theta: 1.838, Phi: 0.096
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-30.695837381434988	1.1851216497449435	-40.07171531357696	1.535990360207345	68.88550660261481	1.3119760634857975	46.18279131740862	0.8660269993603311
51.0	-10.377518969684626	1.201799911182443	-20.003186776839737	1.52340534274418	90.7005178291634	1.3303606512955086	67.39897542298156	0.8775057931616304
52.0	9.56980544510981	1.2037325231960407	-0.09191262865801593	1.5383360672670279	113.13026544977822	1.3188626009959703	88.9290165061606	0.8779317105622667
53.0	29.956802981582623	1.2133760405312692	20.080741603869836	1.5471590803496276	134.54305617470666	1.326226561565206	110.62870846518537	0.8852159100126462
54.0	49.7273713875101	1.2226916933884975	39.94933922771663	1.569646724210898	156.82316252296974	1.3241636811515174	131.94091884392319	0.8986891314869196
55.0	69.98909319594866	1.2301546853819436	60.030639257506564	1.5784737341201904	179.55358454560346	1.340836949116365	154.19653686067832	0.9078334924690269
56.0	90.60087043494859	1.235916561245108	81.0658570177696	1.5780794114929753	202.42617844504397	1.336619650923998	176.60896275989873	0.901850657592721
57.0	112.33599511820988	1.2098611171367029	102.28018399673088	1.540269908475212	225.8928786273277	1.2929058617090228	199.57208805668898	0.8797190167216512
58.0	132.05341200639967	1.1560999186081704	122.08649761100885	1.462118889956523	248.17693743820146	1.239944990141143	221.36384522529985	0.844635403824036
59.0	151.53794122228905	1.0626275515321668	141.77203445484332	1.3505082967893707	269.81337613977905	1.1432998495164048	241.96652584797704	0.7710745037190638
60.0	167.0457471473208	0.9903479364481764	156.86967946190205	1.2714130742801315	287.29456368011995	1.0909447287208225	260.38187092234904	0.722847355422102
61.0	182.35046345491054	0.9725425821492366	172.3264879656815	1.2404547687467593	304.20293282020856	1.0665269875032077	277.0259493202104	0.7083147882450554
62.0	198.55079558603708	0.9703427950627018	187.5560240821435	1.2348084111137618	321.7357739173018	1.054308366646337	293.58974121434466	0.7120780638419137
63.0	214.51002536798725	0.9664011663068957	204.02664993787198	1.2415658845487918	339.9158172976226	1.0596109199981305	311.7066287380636	0.7039664480124525
64.0	230.9993641352397	0.9727411746016241	220.08258571326493	1.256057538346251	359.1652898829846	1.0573301132976465	329.5427902239833	0.7139216710196683
65.0	248.53370827495806	0.979754705348106	236.5002526195019	1.2559192225716045	377.9402613234243	1.0643651610727276	348.6211329722946	0.7139601386469182
66.0	264.32305078876163	0.9916554083866577	253.3307431992104	1.254251560883911	396.3181394915091	1.0765123149874614	366.39626178334424	0.7189780476388504
67.0	281.363581618143	0.9774609094262635	270.34920869042855	1.2709328241838045	415.5280978099068	1.0691219297029348	385.40433559380426	0.7208796178246328
68.0	298.7337822047679	0.9849955812887499	287.2051295411409	1.2569371764065265	434.53895219597985	1.0605286158103693	404.51330050341267	0.7205279006364733
69.0	314.8564051504424	0.9860217974846859	303.9537428225035	1.2582903258382332	453.6996912713857	1.0631930961847533	421.9843728256198	0.7242063243506992
70.0	332.2074729514455	0.9833455885466034	320.59320565206644	1.256468254459126	472.1125999735656	1.0600468323062238	441.3091023747441	0.716588164406009
71.0	348.82762376659787	0.983424143801726	337.2299494486559	1.246076253876936	490.2445758069338	1.0550075451344623	458.83313179568296	0.7128379823922335
