Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 30
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 0.000, Pos Y: 0.000, Theta: 0.000, Phi: 0.000
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-29.738667574925675	1.5550079966964212	-38.95786992009268	1.988128444290905	69.98823355184972	1.665641475808228	46.88051579872716	1.0641355011291593
51.0	-9.630583480315892	1.562708310117327	-18.6731439998503	2.0088711287750516	92.11918790601464	1.6739520819556155	68.7355565930941	1.0658726172184105
52.0	10.454336727648405	1.5793641281366102	0.9639575560315604	2.018296660113634	114.26146616399637	1.6851577484014877	90.69516526772205	1.065659293153214
53.0	30.52307800251181	1.579209200921207	20.7954601623244	2.0313866304904593	136.3161595812531	1.6894809421185373	112.31892133392364	1.0793143881132399
54.0	50.47964192493611	1.5974315699150026	40.70400295547785	2.049587803069296	157.93734871595652	1.7061548101184267	133.53356500986305	1.0921462410951845
55.0	70.59733825739455	1.6060803387272262	60.76918990267986	2.06348737443779	180.43388582645844	1.7083018689590888	154.93827209709676	1.0887945045081335
56.0	91.31357136509168	1.6172816111626926	81.69607766693048	2.066178192295734	202.97277970006922	1.707770354360785	177.29386360093525	1.0992668353232486
57.0	112.59010767603573	1.5926822737779425	102.68938353153702	2.0483342548122763	226.51827982163607	1.6850041367765491	200.67525612782478	1.0851728222145327
58.0	132.8965900160373	1.5274640763912708	123.28524294578978	1.972463363828918	248.874353184987	1.6209668370536312	222.7391292874494	1.0448990180823363
59.0	153.10646727277623	1.425405637037423	143.56710850309662	1.8226891755831902	271.5151009899888	1.5030720134282198	244.48061097832232	0.9686652417037948
60.0	169.34847785063857	1.316858150899689	159.99069797285944	1.681714133046272	289.7956546505783	1.3894263829244213	262.4553905397206	0.8986185085110712
61.0	184.5061874757578	1.2746036649532189	174.42509992789513	1.622861186688488	306.4059649788962	1.3418585668544625	278.8822281435178	0.854944827074412
62.0	200.4346764791405	1.263238774186151	189.51766696529432	1.6203452286573523	323.89985243679337	1.3305355491877657	295.3556755488272	0.8686791519011559
63.0	216.50985539373147	1.2633290466013603	205.5663230921841	1.6246944780271326	342.48167841535604	1.3310698607203038	313.6391396406825	0.8716041076872789
64.0	232.773527303539	1.2682469331401667	222.08258612263705	1.63554791318564	360.4035100830521	1.330767897839342	331.8255947183485	0.8724009092851199
65.0	249.49295626420178	1.2741506146786126	238.71758955341937	1.6380727186675397	379.6573861004026	1.3388976105847545	350.13789127519703	0.8802808345636111
66.0	266.0720868619997	1.2754933366555004	255.36356375542942	1.6450066560184853	398.32122686105333	1.3384224447663693	368.6309946280935	0.87598734124646
67.0	282.9369363817545	1.2777550750579634	272.020055783072	1.6411691539257882	417.30726991222673	1.3439952984163768	386.983583247879	0.8825896222898404
68.0	299.83564162167767	1.2834425503665847	288.84131637233656	1.6425428082844455	436.30317989334617	1.3483824441144623	405.60520201261056	0.8808405593370244
69.0	316.4729086829435	1.2781073073481446	305.33187390822036	1.6527113829577054	454.88371388022387	1.3333321867781969	424.06498521760216	0.8808052093296074
70.0	333.26066486752427	1.284484167738096	322.37998810443673	1.645029348051486	473.9187439751747	1.3289352869726352	442.4666272426671	0.8681726539801664
