Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 30
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 0.000, Pos Y: 0.000, Theta: 0.000, Phi: 0.000
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-29.651389453216833	1.5607320261088355	-38.60054916536857	1.9916531095854482	69.5937475417807	1.65666005356437	46.83963295650236	1.0583655442141633
51.0	-9.516601299862321	1.5616746787449958	-18.81141677081283	2.000950843970587	91.64558468052601	1.6719185544989728	69.0424110889024	1.059704059774626
52.0	10.47690951711164	1.5718923288255815	1.122598567356366	2.0219361978416073	114.1830850231425	1.6715149927484907	90.20879277846748	1.0753150906214413
53.0	30.50907065898383	1.583428774018935	21.133132726726668	2.0352872593433826	136.22321747800555	1.6887148093358535	111.93610081355217	1.078734175409216
54.0	50.323404403517344	1.5980997480288648	40.813271125810296	2.0467806581161443	157.98460982814186	1.6907122573156488	133.1242438713131	1.0906797067833858
55.0	70.5531747204491	1.6146749783960361	60.87817142774075	2.0668011388329646	180.58165872206186	1.7089976900870767	155.04618202351406	1.0935095119061295
56.0	91.38286961406283	1.6151270428382472	81.67663665395862	2.0707435756335464	203.0688473684608	1.7106132818965096	177.59291820923397	1.0907144150904848
57.0	112.50010373439248	1.5900018808837904	102.7791344054392	2.046899694383201	226.55856224201594	1.6833108149799418	200.30146412482935	1.0850646442041827
58.0	133.18878090842594	1.5301303272581226	122.9462861490026	1.976792743262318	248.89471522767747	1.6176905753228865	222.27025184418233	1.041176700626643
59.0	153.46106898661242	1.4214812270453103	143.55007973476714	1.8308391395639412	271.462257949186	1.5089365109428499	244.5816852234183	0.9686763286983794
60.0	169.28874885404943	1.3126019135634654	159.83666718164804	1.6781519007630372	289.9846691527564	1.3712684296716888	262.574693176587	0.8922057840506643
61.0	184.31226463842725	1.2682235447683996	174.4311742897877	1.6243104884797344	306.82613784002865	1.3330771788486717	278.5247416256335	0.8627052316066836
62.0	199.9328453298758	1.2706381230065877	189.40449568761005	1.6114392088850755	323.7927510811478	1.3173155138618513	295.5487272852462	0.8611413097362796
63.0	216.13310635351758	1.267678524388589	205.77658041883913	1.6279497246539214	341.9748826708382	1.3238668175260146	313.71796171940014	0.8631053429129513
64.0	232.73695828426932	1.2688874753059898	222.0061025062079	1.630750066659157	360.531572322153	1.3328403390158867	331.40052209889245	0.8731276700838464
65.0	249.30729017177603	1.2862614282453613	238.5198105201852	1.63534837716553	379.53069876300594	1.3348807419477942	350.0462035165978	0.8709404590359712
66.0	265.7968482173205	1.2807578040768657	255.30929935529798	1.6490270962043405	398.1153720679288	1.3367639712783173	367.96391863252643	0.8748663929915714
67.0	283.1030597157304	1.2832681266483352	271.9781403496552	1.648681065138866	417.2604161621441	1.3451795176483252	387.1119080694629	0.8733755224902557
68.0	299.79383828091585	1.2870490427628976	288.8360781750566	1.652194788189586	436.44480667604677	1.337566782836351	405.5041455387781	0.8801061980118402
69.0	316.5188827301139	1.286548548089949	305.4247201306605	1.6478230470804334	455.305196687205	1.3414967856885829	423.8688194245035	0.876749324643993
70.0	333.14043749433495	1.288180870382084	321.96885530086945	1.6479475525039464	473.82459841305183	1.333144847248573	442.3062204397134	0.878284705759049
71.0	349.9259192464756	1.2834681804809205	338.7292336219568	1.646155638393222	492.49646762920065	1.335448003236759	460.16491624629145	0.876394518592241
