Patient ID: test 
Source fiber Name: miniLBS
Study File: 
Number of Lasers: 4 
Data Calibrated: 
Source-Detector (mm): 10.000 
Number of Scans: 1 
Number of sweeps per scan: 30
Freq Range (MHz): 50 - 299 
Number of Points: 250 
Date acquired: test 
Laser names: 785,808,830,850,
Comment: 
Pos X: 0.000, Pos Y: 0.000, Theta: 0.000, Phi: 0.000
*****************************end of header
Frequency (MHz) 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	Phase 	Amplitude 	
50.0	-29.83827397702007	1.5556023820169949	-38.68402338099572	1.999711982561777	69.57881991380462	1.6639389336714459	46.90679807186619	1.0579283249356024
51.0	-9.228061871727041	1.5717668082006084	-18.852340093554076	1.994682868461581	92.07035487546854	1.6719591327076226	68.77559300820901	1.061370294271362
52.0	10.522739177614673	1.577036492483443	1.0842501984944595	2.0104417721432752	113.99356051986683	1.6809961970375602	90.29627524832878	1.0661504549588015
53.0	30.611268341024022	1.585720832173951	20.898128085242636	2.0168744584303107	136.19712600241465	1.6959542221618387	111.88320751324787	1.079356317095836
54.0	50.53311941847693	1.598416996085465	40.847320752967796	2.034712404315478	158.37395606605787	1.7003461541148095	133.4285054370365	1.0894502778313881
55.0	70.34315979495213	1.6050745344912505	61.114522217046094	2.052547960328275	180.5315347407453	1.71096192855528	155.3475714941562	1.0938631466367215
56.0	91.2200189974852	1.6123627054997476	81.48896023191914	2.055583741344968	203.2552867074786	1.7197069372020763	178.0229263322282	1.1001908233850817
57.0	112.63985986293565	1.5943910635285807	102.66664898859126	2.0269826345455844	226.63891033763693	1.6872404259682092	200.56543834775232	1.081960806277704
58.0	133.0910721932729	1.5361691014584744	123.14521903156496	1.963049179843503	248.873567164478	1.615986282574102	222.72368346702532	1.0501367381645568
59.0	153.1518145001217	1.4268751469950587	143.60598126891844	1.8181920283793362	271.4493366238255	1.502217986393656	244.42476072230443	0.9688883290424314
60.0	169.36183947262364	1.3214930932152344	159.70423570703718	1.6748138764834675	289.6828704170991	1.3829153251678856	262.16614210023465	0.895550312319977
